0,7,-,-,1,7,0,-,15
0,7,1,-,7,-,-,-,15
5,0,-,-,7,3,-,-,15
2,-,-,-,6,7,-,-,15
6,0,2,-,7,-,-,-,15
3,1,1,-,3,7,0,-,15
7,-,1,-,7,-,-,-,15
7,-,1,-,7,-,-,-,15
0,2,-,-,7,0,6,-,15
7,-,1,-,7,-,0,-,15
0,7,2,0,3,1,1,-,14
-,7,1,-,5,-,1,-,14
1,1,2,-,3,7,-,-,14
7,-,-,-,7,-,0,-,14
-,7,-,-,7,-,-,-,14
7,-,-,-,7,-,-,-,14
-,7,-,-,-,-,7,-,14
7,7,-,-,-,-,-,-,14
7,-,-,-,7,-,-,-,14
7,-,-,-,7,-,-,-,14
7,-,-,-,6,1,0,-,14
7,-,-,-,7,-,-,-,14
7,-,2,0,3,-,2,0,14
0,7,2,-,4,1,0,-,14
7,1,-,-,6,0,0,-,14
0,7,-,-,7,-,-,-,14
-,-,-,-,7,7,0,0,14
5,-,1,-,7,0,0,-,13
6,0,-,-,7,-,0,-,13
0,7,1,-,5,-,-,-,13
7,-,2,0,3,1,0,-,13
1,-,2,-,7,3,0,-,13
-,-,-,-,6,7,0,-,13
7,-,0,-,5,-,0,-,12
0,-,-,-,4,7,1,-,12
-,6,2,3,1,0,-,0,12
7,-,-,-,4,1,0,0,12
-,-,5,-,-,-,7,-,12
0,7,-,-,-,1,3,-,11
5,-,2,-,4,-,-,-,11
0,6,2,3,-,-,-,-,11
0,7,-,2,2,-,-,-,11
1,-,-,0,7,-,3,-,11
7,-,2,0,2,0,0,-,11
0,7,0,-,4,-,-,-,11
4,-,-,-,7,-,-,-,11
-,-,-,-,7,4,-,-,11
0,5,3,-,2,0,0,0,10
-,-,-,1,3,0,6,-,10
7,-,-,-,2,1,-,-,10
0,-,2,-,7,1,-,-,10
6,0,-,-,2,-,1,-,9
2,7,-,-,-,-,-,-,9
-,6,2,-,1,-,0,-,9
5,-,2,-,2,-,0,-,9
7,-,0,-,2,-,0,-,9
-,-,-,-,7,2,0,-,9
-,0,2,-,3,-,3,0,8
1,-,-,-,7,-,-,-,8
-,-,-,-,2,6,-,-,8
0,6,1,-,1,0,0,-,8
-,-,-,-,7,1,-,-,8
1,-,-,-,7,-,-,-,8
2,-,2,-,4,-,-,-,8
-,-,-,-,6,-,2,-,8
-,-,-,-,7,1,-,-,8
7,-,-,-,0,0,0,-,7
7,-,-,-,-,-,-,-,7
0,-,-,-,7,-,-,-,7
2,-,-,2,0,0,3,-,7
-,6,-,-,1,-,0,-,7
7,-,-,-,-,-,-,-,7
-,7,-,-,-,-,-,-,7
7,-,-,-,-,-,-,-,7
-,-,1,-,6,0,-,-,7
7,0,0,-,0,0,0,0,7
-,-,-,-,7,-,-,-,7
4,0,1,0,1,1,0,0,7
-,-,-,-,7,-,-,-,7
-,-,-,-,7,-,-,0,7
-,-,-,-,7,-,-,-,7
-,-,-,-,7,-,-,-,7
-,-,-,-,7,-,-,-,7
2,-,1,0,2,1,-,-,6
-,6,-,-,-,-,-,-,6
-,-,2,-,4,-,0,-,6
1,-,-,-,4,1,-,-,6
-,-,-,-,6,0,-,-,6
5,-,0,0,1,0,0,-,6
-,-,2,-,2,0,2,-,6
-,-,-,-,6,-,-,-,6
2,-,-,-,3,-,-,-,5
0,-,1,-,4,0,-,-,5
-,-,-,-,5,-,0,-,5
0,-,-,-,4,-,-,-,4
-,-,0,-,4,-,-,-,4
-,-,-,-,4,-,-,-,4
2,-,1,-,-,-,-,-,3
1,-,-,-,2,-,-,-,3
-,-,-,-,3,-,-,-,3
0,0,1,2,0,-,-,-,3
0,-,2,-,1,-,0,-,3
-,-,-,-,3,0,-,-,3
-,-,-,-,3,-,-,-,3
0,-,0,-,2,-,0,-,2
2,-,-,-,-,-,-,-,2
0,-,2,-,0,-,0,-,2
-,-,0,-,1,0,1,-,2
-,-,2,-,-,-,-,-,2
2,-,-,-,0,-,-,-,2
0,-,-,-,2,-,-,-,2
2,-,-,-,-,-,-,-,2
-,1,-,-,-,-,-,-,1
1,-,-,-,0,-,-,-,1
0,0,1,-,-,-,-,-,1
-,0,1,-,-,-,-,-,1
-,1,-,-,-,-,-,-,1
1,-,-,-,-,-,-,-,1
0,-,-,-,1,-,-,-,1
0,1,0,-,0,0,0,0,1
0,0,0,-,0,0,0,0,0
-,-,0,-,0,-,-,-,0
0,-,-,-,-,-,-,-,0
-,-,-,0,-,-,-,-,0
0,-,-,0,-,-,-,-,0
-,-,0,-,-,-,-,-,0
0,-,-,-,-,-,-,-,0
0,-,-,-,-,-,-,-,0
-,-,-,0,0,-,-,-,0
0,0,0,0,-,-,0,-,0
-,-,-,-,0,-,-,-,0
0,-,-,-,-,-,-,-,0
